country,year,age,sex,cases
ER,2000,,f,10
ER,2000,,m,9
ER,2001,15-24,f,96
ER,2001,15-24,m,79
ER,2001,25-34,f,76
ER,2001,25-34,m,95
ER,2001,35-44,f,66
ER,2001,35-44,m,77
ER,2001,45-54,f,50
ER,2001,45-54,m,40
ER,2001,55-64,f,31
ER,2001,55-64,m,42
ER,2001,65+,f,15
ER,2001,65+,m,21
ER,2001,,f,9
ER,2001,,m,5
ER,2002,15-24,f,75
ER,2002,15-24,m,85
ER,2002,25-34,f,85
ER,2002,25-34,m,88
ER,2002,35-44,f,52
ER,2002,35-44,m,53
ER,2002,45-54,f,39
ER,2002,45-54,m,41
ER,2002,55-64,f,30
ER,2002,55-64,m,24
ER,2002,65+,f,20
ER,2002,65+,m,23
ER,2002,,f,15
ER,2002,,m,16
ER,2003,15-24,f,120
ER,2003,15-24,m,90
ER,2003,25-34,f,149
ER,2003,25-34,m,85
ER,2003,35-44,f,100
ER,2003,35-44,m,55
ER,2003,45-54,f,60
ER,2003,45-54,m,46
ER,2003,55-64,f,36
ER,2003,55-64,m,44
ER,2003,65+,f,22
ER,2003,65+,m,36
ER,2003,,f,27
ER,2003,,m,17
ER,2004,15-24,f,95
ER,2004,15-24,m,67
ER,2004,25-34,f,118
ER,2004,25-34,m,61
ER,2004,35-44,f,67
ER,2004,35-44,m,45
ER,2004,45-54,f,43
ER,2004,45-54,m,45
ER,2004,55-64,f,23
ER,2004,55-64,m,39
ER,2004,65+,f,20
ER,2004,65+,m,29
ER,2004,,f,13
ER,2004,,m,14
ER,2005,15-24,f,67
ER,2005,15-24,m,68
ER,2005,25-34,f,127
ER,2005,25-34,m,73
ER,2005,35-44,f,72
ER,2005,35-44,m,50
ER,2005,45-54,f,39
ER,2005,45-54,m,45
ER,2005,55-64,f,21
ER,2005,55-64,m,51
ER,2005,65+,f,18
ER,2005,65+,m,39
ER,2005,,f,8
ER,2005,,m,9
ER,2006,15-24,f,109
ER,2006,15-24,m,50
ER,2006,25-34,f,123
ER,2006,25-34,m,55
ER,2006,35-44,f,64
ER,2006,35-44,m,44
ER,2006,45-54,f,45
ER,2006,45-54,m,52
ER,2006,55-64,f,19
ER,2006,55-64,m,42
ER,2006,65+,f,18
ER,2006,65+,m,36
ER,2006,,f,17
ER,2006,,m,6
ER,2007,0-4,f,0
ER,2007,0-4,m,4
ER,2007,15-24,f,70
ER,2007,15-24,m,56
ER,2007,25-34,f,89
ER,2007,25-34,m,85
ER,2007,35-44,f,56
ER,2007,35-44,m,73
ER,2007,45-54,f,47
ER,2007,45-54,m,62
ER,2007,May-14,f,2
ER,2007,May-14,m,17
ER,2007,55-64,f,21
ER,2007,55-64,m,53
ER,2007,65+,f,15
ER,2007,65+,m,44
ER,2007,,f,2
ER,2007,,m,21
ES,1995,15-24,f,90
ES,1995,15-24,m,132
ES,1995,25-34,f,129
ES,1995,25-34,m,337
ES,1995,35-44,f,64
ES,1995,35-44,m,242
ES,1995,45-54,f,39
ES,1995,45-54,m,150
ES,1995,55-64,f,34
ES,1995,55-64,m,112
ES,1995,65+,f,98
ES,1995,65+,m,228
ES,1995,,f,23
ES,1995,,m,22
ES,1998,15-24,f,149
ES,1998,15-24,m,186
ES,1998,25-34,f,167
ES,1998,25-34,m,361
ES,1998,35-44,f,61
ES,1998,35-44,m,294
ES,1998,45-54,f,27
ES,1998,45-54,m,195
ES,1998,55-64,f,25
ES,1998,55-64,m,114
ES,1998,65+,f,104
ES,1998,65+,m,205
ES,1998,,f,3
ES,1998,,m,25
ES,2001,15-24,f,140
ES,2001,15-24,m,160
ES,2001,25-34,f,237
ES,2001,25-34,m,355
ES,2001,35-44,f,116
ES,2001,35-44,m,351
ES,2001,45-54,f,37
ES,2001,45-54,m,215
ES,2001,55-64,f,21
ES,2001,55-64,m,134
ES,2001,65+,f,83
ES,2001,65+,m,232
ES,2001,,f,15
ES,2001,,m,13
ES,2002,15-24,f,194
ES,2002,15-24,m,189
ES,2002,25-34,f,265
ES,2002,25-34,m,392
ES,2002,35-44,f,131
ES,2002,35-44,m,405
ES,2002,45-54,f,56
ES,2002,45-54,m,300
ES,2002,55-64,f,29
ES,2002,55-64,m,192
ES,2002,65+,f,117
ES,2002,65+,m,337
ES,2002,,f,17
ES,2002,,m,22
ES,2003,15-24,f,138
ES,2003,15-24,m,153
ES,2003,25-34,f,218
ES,2003,25-34,m,334
ES,2003,35-44,f,113
ES,2003,35-44,m,305
ES,2003,45-54,f,51
ES,2003,45-54,m,219
ES,2003,55-64,f,29
ES,2003,55-64,m,132
ES,2003,65+,f,87
ES,2003,65+,m,222
ES,2003,,f,6
ES,2003,,m,7
ES,2004,15-24,f,158
ES,2004,15-24,m,140
ES,2004,25-34,f,202
ES,2004,25-34,m,301
ES,2004,35-44,f,125
ES,2004,35-44,m,312
ES,2004,45-54,f,48
ES,2004,45-54,m,229
ES,2004,55-64,f,22
ES,2004,55-64,m,142
ES,2004,65+,f,82
ES,2004,65+,m,227
ES,2004,,f,9
ES,2004,,m,14
ES,2005,0-4,f,6
ES,2005,0-4,m,6
ES,2005,15-24,f,142
ES,2005,15-24,m,166
ES,2005,25-34,f,252
ES,2005,25-34,m,394
ES,2005,35-44,f,151
ES,2005,35-44,m,367
ES,2005,45-54,f,63
ES,2005,45-54,m,230
ES,2005,May-14,f,4
ES,2005,May-14,m,7
ES,2005,55-64,f,24
ES,2005,55-64,m,140
ES,2005,65+,f,108
ES,2005,65+,m,230
ES,2005,,f,10
ES,2005,,f,2
ES,2005,,m,13
ES,2005,,m,2
ES,2006,0-4,f,8
ES,2006,0-4,m,12
ES,2006,15-24,f,122
ES,2006,15-24,m,142
ES,2006,25-34,f,264
ES,2006,25-34,m,332
ES,2006,35-44,f,137
ES,2006,35-44,m,311
ES,2006,45-54,f,48
ES,2006,45-54,m,232
ES,2006,May-14,f,9
ES,2006,May-14,m,6
ES,2006,55-64,f,19
ES,2006,55-64,m,105
ES,2006,65+,f,77
ES,2006,65+,m,175
ES,2006,,f,17
ES,2006,,f,1
ES,2006,,m,18
ES,2006,,m,2
ES,2007,0-4,f,8
ES,2007,0-4,m,4
ES,2007,15-24,f,164
ES,2007,15-24,m,184
ES,2007,25-34,f,291
ES,2007,25-34,m,375
ES,2007,35-44,f,136
ES,2007,35-44,m,379
ES,2007,45-54,f,63
ES,2007,45-54,m,257
ES,2007,May-14,f,4
ES,2007,May-14,m,6
ES,2007,55-64,f,23
ES,2007,55-64,m,128
ES,2007,65+,f,93
ES,2007,65+,m,191
ES,2007,,f,12
ES,2007,,f,2
ES,2007,,m,10
ES,2007,,m,2
ES,2008,0-4,f,3
ES,2008,0-4,m,9
ES,2008,15-24,f,168
ES,2008,15-24,m,179
ES,2008,25-34,f,294
ES,2008,25-34,m,355
ES,2008,35-44,f,173
ES,2008,35-44,m,349
ES,2008,45-54,f,68
ES,2008,45-54,m,268
ES,2008,May-14,f,10
ES,2008,May-14,m,9
ES,2008,55-64,f,16
ES,2008,55-64,m,157
ES,2008,65+,f,73
ES,2008,65+,m,200
ES,2008,,f,13
ES,2008,,f,1
ES,2008,,m,18
ES,2008,,m,0
ET,1995,15-24,f,908
ET,1995,15-24,m,1221
ET,1995,25-34,f,781
ET,1995,25-34,m,1017
ET,1995,35-44,f,382
ET,1995,35-44,m,541
ET,1995,45-54,f,152
ET,1995,45-54,m,276
ET,1995,55-64,f,64
ET,1995,55-64,m,142
ET,1995,65+,f,15
ET,1995,65+,m,51
ET,1995,,f,283
ET,1995,,m,247
ET,1996,15-24,f,1564
ET,1996,15-24,m,1739
ET,1996,25-34,f,1147
ET,1996,25-34,m,1609
ET,1996,35-44,f,576
ET,1996,35-44,m,854
ET,1996,45-54,f,246
ET,1996,45-54,m,427
ET,1996,55-64,f,88
ET,1996,55-64,m,201
ET,1996,65+,f,32
ET,1996,65+,m,71
ET,1996,,f,369
ET,1996,,m,302
ET,1997,15-24,f,2469
ET,1997,15-24,m,2810
ET,1997,25-34,f,2173
ET,1997,25-34,m,2520
ET,1997,35-44,f,1039
ET,1997,35-44,m,1365
ET,1997,45-54,f,481
ET,1997,45-54,m,736
ET,1997,55-64,f,192
ET,1997,55-64,m,401
ET,1997,65+,f,108
ET,1997,65+,m,193
ET,1997,,f,687
ET,1997,,m,579
ET,1998,15-24,f,3016
ET,1998,15-24,m,2643
ET,1998,25-34,f,2434
ET,1998,25-34,m,3187
ET,1998,35-44,f,1220
ET,1998,35-44,m,1610
ET,1998,45-54,f,519
ET,1998,45-54,m,839
ET,1998,55-64,f,194
ET,1998,55-64,m,429
ET,1998,65+,f,55
ET,1998,65+,m,171
ET,1998,,f,832
ET,1998,,m,715
ET,1999,15-24,f,3310
ET,1999,15-24,m,3916
ET,1999,25-34,f,2949
ET,1999,25-34,m,3673
ET,1999,35-44,f,1539
ET,1999,35-44,m,1925
ET,1999,45-54,f,713
ET,1999,45-54,m,1045
ET,1999,55-64,f,225
ET,1999,55-64,m,471
ET,1999,65+,f,69
ET,1999,65+,m,230
ET,1999,,f,798
ET,1999,,m,692
ET,2000,15-24,f,4699
ET,2000,15-24,m,5095
ET,2000,25-34,f,4424
ET,2000,25-34,m,5187
ET,2000,35-44,f,2105
ET,2000,35-44,m,3082
ET,2000,45-54,f,976
ET,2000,45-54,m,1495
ET,2000,55-64,f,366
ET,2000,55-64,m,610
ET,2000,65+,f,122
ET,2000,65+,m,397
ET,2000,,f,1037
ET,2000,,m,915
ET,2001,15-24,f,5109
ET,2001,15-24,m,5730
ET,2001,25-34,f,4830
ET,2001,25-34,m,5594
ET,2001,35-44,f,2372
ET,2001,35-44,m,3233
ET,2001,45-54,f,1014
ET,2001,45-54,m,1581
ET,2001,55-64,f,338
ET,2001,55-64,m,742
ET,2001,65+,f,111
ET,2001,65+,m,354
ET,2001,,f,1107
ET,2001,,m,913
ET,2002,15-24,f,5607
ET,2002,15-24,m,6764
ET,2002,25-34,f,5692
ET,2002,25-34,m,5669
ET,2002,35-44,f,2685
ET,2002,35-44,m,3128
ET,2002,45-54,f,935
ET,2002,45-54,m,1544
ET,2002,55-64,f,323
ET,2002,55-64,m,821
ET,2002,65+,f,136
ET,2002,65+,m,372
ET,2002,,f,1614
ET,2002,,m,1251
ET,2003,15-24,f,5936
ET,2003,15-24,m,6923
ET,2003,25-34,f,5908
ET,2003,25-34,m,6648
ET,2003,35-44,f,2780
ET,2003,35-44,m,3737
ET,2003,45-54,f,1239
ET,2003,45-54,m,2022
ET,2003,55-64,f,412
ET,2003,55-64,m,976
ET,2003,65+,f,137
ET,2003,65+,m,483
ET,2003,,f,1387
ET,2003,,m,1110
ET,2004,15-24,f,6422
ET,2004,15-24,m,7167
ET,2004,25-34,f,6091
ET,2004,25-34,m,7002
ET,2004,35-44,f,2984
ET,2004,35-44,m,4060
ET,2004,45-54,f,1284
ET,2004,45-54,m,1988
ET,2004,55-64,f,414
ET,2004,55-64,m,911
ET,2004,65+,f,124
ET,2004,65+,m,456
ET,2004,,f,1367
ET,2004,,m,1160
ET,2005,15-24,f,5885
ET,2005,15-24,m,6726
ET,2005,25-34,f,5663
ET,2005,25-34,m,6181
ET,2005,35-44,f,2730
ET,2005,35-44,m,3454
ET,2005,45-54,f,1296
ET,2005,45-54,m,1985
ET,2005,55-64,f,513
ET,2005,55-64,m,1027
ET,2005,65+,f,155
ET,2005,65+,m,475
ET,2005,,f,1326
ET,2005,,m,1109
ET,2006,15-24,f,5238
ET,2006,15-24,m,6137
ET,2006,25-34,f,5326
ET,2006,25-34,m,5950
ET,2006,35-44,f,2704
ET,2006,35-44,m,3567
ET,2006,45-54,f,1324
ET,2006,45-54,m,2016
ET,2006,55-64,f,510
ET,2006,55-64,m,1066
ET,2006,65+,f,159
ET,2006,65+,m,521
ET,2006,,f,1178
ET,2006,,m,978
ET,2007,15-24,f,5426
ET,2007,15-24,m,6522
ET,2007,25-34,f,5507
ET,2007,25-34,m,6114
ET,2007,35-44,f,2850
ET,2007,35-44,m,3545
ET,2007,45-54,f,1429
ET,2007,45-54,m,2038
ET,2007,55-64,f,502
ET,2007,55-64,m,1051
ET,2007,65+,f,213
ET,2007,65+,m,559
ET,2007,,f,1229
ET,2007,,m,1055
ET,2008,15-24,f,5490
ET,2008,15-24,m,6512
ET,2008,25-34,f,5893
ET,2008,25-34,m,6794
ET,2008,35-44,f,3251
ET,2008,35-44,m,4067
ET,2008,45-54,f,1553
ET,2008,45-54,m,2290
ET,2008,55-64,f,616
ET,2008,55-64,m,1176
ET,2008,65+,f,322
ET,2008,65+,m,685
ET,2008,,f,1167
ET,2008,,m,978
FI,1995,15-24,f,1
FI,1995,15-24,m,1
FI,1995,25-34,f,6
FI,1995,25-34,m,10
FI,1995,35-44,f,7
FI,1995,35-44,m,25
FI,1995,45-54,f,4
FI,1995,45-54,m,28
FI,1995,55-64,f,10
FI,1995,55-64,m,24
FI,1995,65+,f,65
FI,1995,65+,m,61
FI,1995,,f,1
FI,1995,,m,1
FI,1996,15-24,f,4
FI,1996,15-24,m,2
FI,1996,25-34,f,5
FI,1996,25-34,m,5
FI,1996,35-44,f,3
FI,1996,35-44,m,24
FI,1996,45-54,f,7
FI,1996,45-54,m,26
FI,1996,55-64,f,6
FI,1996,55-64,m,23
FI,1996,65+,f,58
FI,1996,65+,m,77
FI,1996,,f,0
FI,1996,,m,0
FI,1997,15-24,f,2
FI,1997,15-24,m,1
FI,1997,25-34,f,6
FI,1997,25-34,m,5
FI,1997,35-44,f,2
FI,1997,35-44,m,22
FI,1997,45-54,f,5
FI,1997,45-54,m,24
FI,1997,55-64,f,5
FI,1997,55-64,m,26
FI,1997,65+,f,35
FI,1997,65+,m,53
FI,1997,,f,0
FI,1997,,m,0
FI,1998,15-24,f,3
FI,1998,15-24,m,4
FI,1998,25-34,f,4
FI,1998,25-34,m,4
FI,1998,35-44,f,9
FI,1998,35-44,m,9
FI,1998,45-54,f,4
FI,1998,45-54,m,15
FI,1998,55-64,f,12
FI,1998,55-64,m,21
FI,1998,65+,f,40
FI,1998,65+,m,63
FI,1998,,f,0
FI,1998,,m,0
FI,1999,15-24,f,2
FI,1999,25-34,f,6
FI,1999,25-34,m,4
FI,1999,35-44,m,13
FI,1999,45-54,f,11
FI,1999,45-54,m,26
FI,1999,55-64,f,5
FI,1999,55-64,m,20
FI,1999,65+,f,39
FI,1999,65+,m,53
FI,1999,,f,0
FI,1999,,m,0
FI,2000,15-24,f,1
FI,2000,15-24,m,3
FI,2000,25-34,f,5
FI,2000,25-34,m,8
FI,2000,35-44,f,3
FI,2000,35-44,m,22
FI,2000,45-54,f,4
FI,2000,45-54,m,19
FI,2000,55-64,f,6
FI,2000,55-64,m,28
FI,2000,65+,f,49
FI,2000,65+,m,53
FI,2000,,f,0
FI,2000,,m,0
FI,2001,15-24,f,3
FI,2001,15-24,m,1
FI,2001,25-34,f,4
FI,2001,25-34,m,9
FI,2001,35-44,f,5
FI,2001,35-44,m,13
FI,2001,45-54,f,8
FI,2001,45-54,m,17
FI,2001,55-64,f,10
FI,2001,55-64,m,13
FI,2001,65+,f,22
FI,2001,65+,m,43
FI,2001,,f,0
FI,2001,,m,0
FI,2002,15-24,f,4
FI,2002,15-24,m,0
FI,2002,25-34,f,3
FI,2002,25-34,m,5
FI,2002,35-44,f,0
FI,2002,35-44,m,8
FI,2002,45-54,f,3
FI,2002,45-54,m,17
FI,2002,55-64,f,6
FI,2002,55-64,m,20
FI,2002,65+,f,26
FI,2002,65+,m,36
FI,2002,,f,0
FI,2002,,m,0
FI,2003,15-24,f,2
FI,2003,15-24,m,2
FI,2003,25-34,f,10
FI,2003,25-34,m,3
FI,2003,35-44,f,3
FI,2003,35-44,m,8
FI,2003,45-54,f,6
FI,2003,45-54,m,19
FI,2003,55-64,f,5
FI,2003,55-64,m,17
FI,2003,65+,f,31
FI,2003,65+,m,29
FI,2003,,f,0
FI,2003,,m,0
FI,2004,15-24,f,1
FI,2004,15-24,m,1
FI,2004,25-34,f,0
FI,2004,25-34,m,5
FI,2004,35-44,f,3
FI,2004,35-44,m,7
FI,2004,45-54,f,4
FI,2004,45-54,m,17
FI,2004,55-64,f,3
FI,2004,55-64,m,13
FI,2004,65+,f,15
FI,2004,65+,m,33
FI,2004,,f,0
FI,2004,,m,0
FI,2005,0-4,f,0
FI,2005,0-4,m,0
FI,2005,15-24,f,3
FI,2005,15-24,m,5
FI,2005,25-34,f,4
FI,2005,25-34,m,4
FI,2005,35-44,f,1
FI,2005,35-44,m,3
FI,2005,45-54,f,0
FI,2005,45-54,m,14
FI,2005,May-14,f,0
FI,2005,May-14,m,1
FI,2005,55-64,f,6
FI,2005,55-64,m,11
FI,2005,65+,f,20
FI,2005,65+,m,25
FI,2005,,f,0
FI,2005,,f,0
FI,2005,,m,1
FI,2005,,m,0
FI,2006,0-4,f,0
FI,2006,0-4,m,0
FI,2006,15-24,f,2
FI,2006,15-24,m,5
FI,2006,25-34,f,4
FI,2006,25-34,m,6
FI,2006,35-44,f,3
FI,2006,35-44,m,5
FI,2006,45-54,f,4
FI,2006,45-54,m,9
FI,2006,May-14,f,0
FI,2006,May-14,m,0
FI,2006,55-64,f,1
FI,2006,55-64,m,6
FI,2006,65+,f,19
FI,2006,65+,m,20
FI,2006,,f,0
FI,2006,,f,0
FI,2006,,m,0
FI,2006,,m,0
FI,2007,0-4,f,0
FI,2007,0-4,m,0
FI,2007,15-24,f,6
FI,2007,15-24,m,4
FI,2007,25-34,f,4
FI,2007,25-34,m,5
FI,2007,35-44,f,2
FI,2007,35-44,m,5
FI,2007,45-54,f,5
FI,2007,45-54,m,10
FI,2007,May-14,f,0
FI,2007,May-14,m,0
FI,2007,55-64,f,0
FI,2007,55-64,m,7
FI,2007,65+,f,13
FI,2007,65+,m,24
FI,2007,,f,0
FI,2007,,f,0
FI,2007,,m,0
FI,2007,,m,0
FI,2008,0-4,f,0
FI,2008,0-4,m,0
FI,2008,15-24,f,4
FI,2008,15-24,m,3
FI,2008,25-34,f,3
FI,2008,25-34,m,5
FI,2008,35-44,f,2
FI,2008,35-44,m,8
FI,2008,45-54,f,4
FI,2008,45-54,m,13
FI,2008,May-14,f,0
FI,2008,May-14,m,0
FI,2008,55-64,f,2
FI,2008,55-64,m,11
FI,2008,65+,f,14
FI,2008,65+,m,35
FI,2008,,f,0
FI,2008,,f,0
FI,2008,,m,0
FI,2008,,m,0
FJ,1994,15-24,f,4
FJ,1994,15-24,m,8
FJ,1994,25-34,f,6
FJ,1994,25-34,m,6
FJ,1994,35-44,f,3
FJ,1994,35-44,m,2
FJ,1994,45-54,f,6
FJ,1994,45-54,m,3
FJ,1994,55-64,f,7
FJ,1994,55-64,m,11
FJ,1994,65+,f,1
FJ,1994,65+,m,3
FJ,1994,,f,0
FJ,1994,,m,2
FJ,1995,15-24,f,10
FJ,1995,15-24,m,8
FJ,1995,25-34,f,9
FJ,1995,25-34,m,10
FJ,1995,35-44,f,2
FJ,1995,35-44,m,9
FJ,1995,45-54,f,3
FJ,1995,45-54,m,4
FJ,1995,55-64,f,4
FJ,1995,55-64,m,2
FJ,1995,65+,f,3
FJ,1995,65+,m,3
FJ,1995,,f,1
FJ,1995,,m,0
FJ,1996,15-24,f,6
FJ,1996,15-24,m,8
FJ,1996,25-34,f,8
FJ,1996,25-34,m,8
FJ,1996,35-44,f,2
FJ,1996,35-44,m,9
FJ,1996,45-54,f,6
FJ,1996,45-54,m,9
FJ,1996,55-64,f,2
FJ,1996,55-64,m,3
FJ,1996,65+,f,2
FJ,1996,65+,m,2
FJ,1996,,f,3
FJ,1996,,m,1
FJ,1997,15-24,f,6
FJ,1997,15-24,m,4
FJ,1997,25-34,f,9
FJ,1997,25-34,m,8
FJ,1997,35-44,f,1
FJ,1997,35-44,m,6
FJ,1997,45-54,f,5
FJ,1997,45-54,m,8
FJ,1997,55-64,f,7
FJ,1997,55-64,m,6
FJ,1997,65+,f,3
FJ,1997,65+,m,2
FJ,1997,,f,0
FJ,1997,,m,1
FJ,1998,15-24,f,10
FJ,1998,15-24,m,7
FJ,1998,25-34,f,10
FJ,1998,25-34,m,11
FJ,1998,35-44,f,4
FJ,1998,35-44,m,7
FJ,1998,45-54,f,4
FJ,1998,45-54,m,8
FJ,1998,55-64,f,3
FJ,1998,55-64,m,4
FJ,1998,65+,f,2
FJ,1998,65+,m,2
FJ,1998,,f,2
FJ,1998,,m,0
FJ,1999,15-24,f,5
FJ,1999,15-24,m,13
FJ,1999,25-34,f,7
FJ,1999,25-34,m,7
FJ,1999,35-44,f,5
FJ,1999,35-44,m,5
FJ,1999,45-54,f,2
FJ,1999,45-54,m,8
FJ,1999,55-64,f,5
FJ,1999,55-64,m,3
FJ,1999,65+,f,1
FJ,1999,65+,m,3
FJ,1999,,f,0
FJ,1999,,m,1
FJ,2000,15-24,f,7
FJ,2000,15-24,m,8
FJ,2000,25-34,f,5
FJ,2000,25-34,m,6
FJ,2000,35-44,f,7
FJ,2000,35-44,m,13
FJ,2000,45-54,f,1
FJ,2000,45-54,m,5
FJ,2000,55-64,f,4
FJ,2000,55-64,m,4
FJ,2000,65+,f,0
FJ,2000,65+,m,2
FJ,2000,,f,0
FJ,2000,,m,0
FJ,2001,15-24,f,7
FJ,2001,15-24,m,6
FJ,2001,25-34,f,5
FJ,2001,25-34,m,8
FJ,2001,35-44,f,7
FJ,2001,35-44,m,11
FJ,2001,45-54,f,1
FJ,2001,45-54,m,7
FJ,2001,55-64,f,2
FJ,2001,55-64,m,4
FJ,2001,65+,f,2
FJ,2001,65+,m,2
FJ,2001,,f,0
FJ,2001,,m,0
FJ,2002,15-24,f,8
FJ,2002,15-24,m,13
FJ,2002,25-34,f,4
FJ,2002,25-34,m,11
FJ,2002,35-44,f,6
FJ,2002,35-44,m,7
FJ,2002,45-54,f,3
FJ,2002,45-54,m,4
FJ,2002,55-64,f,4
FJ,2002,55-64,m,7
FJ,2002,65+,f,2
FJ,2002,65+,m,2
FJ,2002,,f,2
FJ,2002,,m,1
FJ,2003,15-24,f,4
FJ,2003,15-24,m,8
FJ,2003,25-34,f,7
FJ,2003,25-34,m,9
FJ,2003,35-44,f,4
FJ,2003,35-44,m,6
FJ,2003,45-54,f,4
FJ,2003,45-54,m,11
FJ,2003,55-64,f,8
FJ,2003,55-64,m,7
FJ,2003,65+,f,1
FJ,2003,65+,m,6
FJ,2003,,f,1
FJ,2003,,m,2
FJ,2004,15-24,f,8
FJ,2004,15-24,m,8
FJ,2004,25-34,f,6
FJ,2004,25-34,m,6
FJ,2004,35-44,f,3
FJ,2004,35-44,m,8
FJ,2004,45-54,f,5
FJ,2004,45-54,m,6
FJ,2004,55-64,f,2
FJ,2004,55-64,m,7
FJ,2004,65+,f,1
FJ,2004,65+,m,2
FJ,2004,,f,0
FJ,2004,,m,0
FJ,2005,15-24,f,7
FJ,2005,15-24,m,9
FJ,2005,25-34,f,9
FJ,2005,25-34,m,18
FJ,2005,35-44,f,6
FJ,2005,35-44,m,18
FJ,2005,45-54,f,4
FJ,2005,45-54,m,14
FJ,2005,55-64,f,6
FJ,2005,55-64,m,16
FJ,2005,65+,f,5
FJ,2005,65+,m,6
FJ,2005,,f,7
FJ,2005,,m,7
FJ,2006,0-4,f,0
FJ,2006,0-4,m,0
FJ,2006,15-24,f,12
FJ,2006,15-24,m,8
FJ,2006,25-34,f,5
FJ,2006,25-34,m,11
FJ,2006,35-44,f,6
FJ,2006,35-44,m,4
FJ,2006,45-54,f,4
FJ,2006,45-54,m,7
FJ,2006,May-14,f,1
FJ,2006,May-14,m,0
FJ,2006,55-64,f,6
FJ,2006,55-64,m,5
FJ,2006,65+,f,0
FJ,2006,65+,m,4
FJ,2006,,f,1
FJ,2006,,m,0
FJ,2007,15-24,f,11
FJ,2007,15-24,m,7
FJ,2007,25-34,f,4
FJ,2007,25-34,m,7
FJ,2007,35-44,f,6
FJ,2007,35-44,m,7
FJ,2007,45-54,f,5
FJ,2007,45-54,m,4
FJ,2007,55-64,f,1
FJ,2007,55-64,m,1
FJ,2007,65+,f,2
FJ,2007,65+,m,4
FJ,2007,,f,7
FJ,2007,,m,1
FJ,2008,15-24,f,13
FJ,2008,15-24,m,10
FJ,2008,25-34,f,6
FJ,2008,25-34,m,10
FJ,2008,35-44,f,5
FJ,2008,35-44,m,4
FJ,2008,45-54,f,6
FJ,2008,45-54,m,9
FJ,2008,55-64,f,3
FJ,2008,55-64,m,4
FJ,2008,65+,f,4
FJ,2008,65+,m,4
FJ,2008,,f,0
FJ,2008,,m,0
FM,1995,15-24,f,0
FM,1995,15-24,m,1
FM,1995,25-34,f,1
FM,1995,25-34,m,0
FM,1995,35-44,f,0
FM,1995,35-44,m,3
FM,1995,45-54,f,0
FM,1995,45-54,m,1
FM,1995,55-64,f,0
FM,1995,55-64,m,0
FM,1995,65+,f,1
FM,1995,65+,m,0
FM,1995,,f,0
FM,1995,,m,0
FM,1996,15-24,f,1
FM,1996,15-24,m,1
FM,1996,25-34,f,1
FM,1996,25-34,m,0
FM,1996,35-44,f,1
FM,1996,35-44,m,0
FM,1996,45-54,f,3
FM,1996,45-54,m,1
FM,1996,55-64,f,0
FM,1996,55-64,m,2
FM,1996,65+,f,0
FM,1996,65+,m,0
FM,1996,,f,0
FM,1996,,m,0
FM,1997,15-24,f,1
FM,1997,15-24,m,0
FM,1997,25-34,f,1
FM,1997,25-34,m,0
FM,1997,35-44,f,2
FM,1997,35-44,m,0
FM,1997,45-54,f,2
FM,1997,45-54,m,2
FM,1997,55-64,f,0
FM,1997,55-64,m,0
FM,1997,65+,f,2
FM,1997,65+,m,0
FM,1997,,f,1
FM,1997,,m,0
FM,1998,15-24,f,1
FM,1998,15-24,m,5
FM,1998,25-34,f,0
FM,1998,25-34,m,3
FM,1998,35-44,f,1
FM,1998,35-44,m,4
FM,1998,45-54,f,2
FM,1998,45-54,m,1
FM,1998,55-64,f,0
FM,1998,55-64,m,0
FM,1998,65+,f,0
FM,1998,65+,m,5
FM,1998,,f,2
FM,1998,,m,4
FM,2000,15-24,f,3
FM,2000,15-24,m,2
FM,2000,25-34,f,1
FM,2000,25-34,m,0
FM,2000,35-44,f,1
FM,2000,35-44,m,1
FM,2000,45-54,f,0
FM,2000,45-54,m,0
FM,2000,55-64,f,1
FM,2000,55-64,m,0
FM,2000,65+,f,1
FM,2000,65+,m,1
FM,2000,,f,4
FM,2000,,m,0
FM,2001,15-24,f,0
FM,2001,15-24,m,2
FM,2001,25-34,f,1
FM,2001,25-34,m,0
FM,2001,35-44,f,0
FM,2001,35-44,m,0
FM,2001,45-54,f,0
FM,2001,45-54,m,2
FM,2001,55-64,f,1
FM,2001,55-64,m,1
FM,2001,65+,f,0
FM,2001,65+,m,0
FM,2001,,f,1
FM,2001,,m,0
FM,2002,15-24,f,5
FM,2002,15-24,m,0
FM,2002,25-34,f,1
FM,2002,25-34,m,1
FM,2002,35-44,f,1
FM,2002,35-44,m,1
FM,2002,45-54,f,2
FM,2002,45-54,m,1
FM,2002,55-64,f,0
FM,2002,55-64,m,1
FM,2002,65+,f,2
FM,2002,65+,m,0
FM,2002,,f,3
FM,2002,,m,2
FM,2003,15-24,f,4
FM,2003,15-24,m,3
FM,2003,25-34,f,4
FM,2003,25-34,m,2
FM,2003,35-44,f,1
FM,2003,35-44,m,2
FM,2003,45-54,f,1
FM,2003,45-54,m,0
FM,2003,55-64,f,2
FM,2003,55-64,m,2
FM,2003,65+,f,1
FM,2003,65+,m,1
FM,2003,,f,4
FM,2003,,m,0
FM,2004,15-24,f,4
FM,2004,15-24,m,4
FM,2004,25-34,f,4
FM,2004,25-34,m,0
FM,2004,35-44,f,1
FM,2004,35-44,m,2
FM,2004,45-54,f,1
FM,2004,45-54,m,0
FM,2004,55-64,f,3
FM,2004,55-64,m,2
